网站名称 爬虫名称 灾害名称 运行状态(1/0) 爬取频率(h) 爬取延迟(s) 并发数(线程数) 网站链接
央视新闻 collapse_ZH001 崩塌 1 6 5 6 https://search.cctv.com/search.php?qtext=%E5%B1%B1%E4%BD%93%E5%B4%A9%E5%A1%8C&type=web#
天气网 collapse_ZH002 崩塌 1 6 5 6 http://www.tianqi.com/tag/%C9%BD%CC%E5%CB%FA%B7%BD/
百度新闻 collapse_ZH003 崩塌 1 6 5 6 https://www.baidu.com/s?tn=news&rtt=4&bsst=1&cl=2&wd=%E5%B1%B1%E4%BD%93%E5%B4%A9%E5%A1%8C&medium=0
大众网 collapse_ZH004 崩塌 1 6 5 6 http://so.dzwww.com/web/search?searchscope=DOCTITLE&timescope=&timescopecolumn=&orderby=LIFO&channelid=205667&andsen=&total=&orsen=&exclude=&searchword=%E5%B1%B1%E4%BD%93%E5%B4%A9%E5%A1%8C&perpage=&templet=&token=&timeline=
新浪新闻 collapse_ZH005 崩塌 0 6 5 6 https://search.sina.com.cn/?q=%C9%BD%CC%E5%B1%C0%CB%FA&range=title&c=news&sort=time
央视新闻 debrisFlow_ZH001 泥石流 1 6 5 6 https://search.cctv.com/search.php?qtext=%E6%B3%A5%E7%9F%B3%E6%B5%81&type=web
百度新闻 debrisFlow_ZH002 泥石流 1 6 5 6 https://www.baidu.com/s?tn=news&rtt=1&bsst=1&cl=2&wd=%E6%B3%A5%E7%9F%B3%E6%B5%81&medium=0
大众网 debrisFlow_ZH003 泥石流 1 6 6 http://so.dzwww.com/web/search?searchscope=DOCTITLE&timescope=&timescopecolumn=&orderby=LIFO&channelid=205667&andsen=&total=&orsen=&exclude=&searchword=%E6%B3%A5%E7%9F%B3%E6%B5%81&perpage=&templet=&token=&timeline=
新浪新闻 debrisFlow_ZH004 泥石流 0 6 5 6 https://search.sina.com.cn/?q=%C4%E0%CA%AF%C1%F7%D4%D6%BA%A6&range=title&c=news&sort=time
央视新闻 drought_ZH001 干旱 1 6 5 6 https://search.cctv.com/search.php?qtext=%E5%B9%B2%E6%97%B1&type=web
气象科普网 drought_ZH002 干旱 1 6 5 6 http://www.qxkp.net/zhfy/ghzh/
百度新闻 drought_ZH003 干旱 1 6 5 6 https://www.baidu.com/s?rtt=1&bsst=1&cl=2&tn=news&rsv_dl=ns_pc&word=%E5%B9%B2%E6%97%B1
大众网 drought_ZH004 干旱 1 6 5 6 http://so.dzwww.com/web/search?searchscope=DOCTITLE&timescope=&timescopecolumn=&orderby=LIFO&channelid=205667&andsen=&total=&orsen=&exclude=&searchword=%E5%B9%B2%E6%97%B1&perpage=&templet=&token=&timeline=
新浪新闻 drought_ZH005 干旱 0 6 5 6 https://search.sina.com.cn/?q=%B8%C9%BA%B5&range=title&c=news&sort=rel&col=&source=&from=&country=&size=&time=&a=&t=
天气网 drought_ZH006 干旱 1 6 5 6 http://www.tianqi.com/tag/%B8%C9%BA%B5/
美国地震信息中心 earthquake_ES001 地震 1 6 5 6 https://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/2.5_day.geojson
全球地震台网(GSN) earthquake_ES002 地震 1 6 5 6 http://ds.iris.edu/seismon/eventlist/index.phtml
中国地震局网 earthquake_ZH001 地震 1 6 5 6 https://www.cea.gov.cn/eportal/ui?struts.portlet.mode=view&struts.portlet.action=/portlet/expressEarthquake!queryExpressEarthquakeList.action&pageId=363409&moduleId=a852ba487b534470a84a30f00e7d6670
防灾网 forestFire_ZH001 森林火灾 1 6 5 6 http://www.cibeicn.com/topic/list.aspx?key=%E6%A3%AE%E6%9E%97%E7%81%AB%E7%81%BE
百度新闻 forestFire_ZH002 森林火灾 1 6 5 6 https://www.baidu.com/s?ie=utf-8&cl=2&medium=0&rtt=1&bsst=1&rsv_dl=news_t_sk&tn=news&word=%E6%A3%AE%E6%9E%97%E7%81%AB%E7%81%BE&rsv_sug3=22&rsv_sug4=626&rsv_sug1=16&rsv_sug2=0&inputT=7419
大众网 forestFire_ZH003 森林火灾 1 6 5 6 http://so.dzwww.com/web/search?searchscope=DOCTITLE&timescope=&timescopecolumn=&orderby=LIFO&channelid=205667&andsen=&total=&orsen=&exclude=&searchword=%E6%A3%AE%E6%9E%97%E7%81%AB%E7%81%BE&perpage=&templet=&token=&timeline=
新浪新闻 forestFire_ZH004 森林火灾 0 6 5 6 https://search.sina.com.cn/?q=%C9%AD%C1%D6%BB%F0%D4%D6&range=title&c=news&sort=time
天气网 forestFire_ZH005 森林火灾 1 6 5 6 http://www.tianqi.com/tag/%C9%AD%C1%D6%BB%F0%D4%D6/
央视新闻 forestFire_ZH006 森林火灾 1 6 5 6 https://search.cctv.com/search.php?qtext=%E6%A3%AE%E6%9E%97%E7%81%AB%E7%81%BE&type=web
中国海洋预报网 stormSurge_ZH001 风暴潮 1 6 5 6 http://www.oceanguide.org.cn/hyyj/map/boreList.htm?type=storm
百度新闻 stormSurge_ZH002 风暴潮 1 6 5 6 https://www.baidu.com/s?tn=news&rtt=4&bsst=1&cl=2&wd=%E9%A3%8E%E6%9A%B4%E6%BD%AE&medium=0
大众网 stormSurge_ZH003 风暴潮 1 6 5 6 http://so.dzwww.com/web/search?searchscope=DOCTITLE&timescope=&timescopecolumn=&orderby=LIFO&channelid=205667&andsen=&total=&orsen=&exclude=&searchword=%E9%A3%8E%E6%9A%B4%E6%BD%AE&perpage=&templet=&token=&timeline=
新浪新闻 stormSurge_ZH004 风暴潮 0 6 5 6 https://search.sina.com.cn/?q=%B7%E7%B1%A9%B3%B1&range=title&c=news&sort=time
